family	has_parent	total_paralogs	paralogs_detected	supported	robust expression	parent correlated	low expression	unsupported	parent_mean_TPM	mean_paralog_TPM	paralog_parent_TPM_ratio	paralogs_parent correlated	parent_n_tissues
Itfg2	True	1	1	1	0	0	0	0	37.9053	150.2746	3.9645	0	6
Itm2a	True	2	2	0	0	1	1	0	60.8163	33.5256	1.1025	1	6
Itm2b	True	3	3	0	0	3	0	0	244.2543	1597.6446	19.6227	3	6
Jpt1	True	1	1	0	0	1	0	0	27.5800	460.0105	16.6791	1	6
Jpt2	True	2	2	2	0	0	0	0	15.4594	266.5656	34.4860	0	6
Jrk	True	1	1	0	0	1	0	0	154.1045	17.0103	0.1104	1	6
Kansl2	True	1	1	0	0	1	0	0	74.5392	90.2985	1.2114	1	6
Katnbl1	True	1	1	0	0	1	0	0	12.8631	169.8981	13.2082	1	6
Kcmf1	True	1	1	1	0	0	0	0	43.4941	156.7344	3.6036	0	6
Kdm4d	True	1	1	0	0	1	0	0	13.9757	4.3350	0.3102	1	6
Khdc1	True	1	0	0	0	0	0	1	0.0000	0.0000		0	0
Kif4a	True	1	1	0	0	0	1	0	2.4490	0.3301	0.1348	0	6
Kifbp	True	5	5	4	0	0	1	0	0.4512	46.6908	517.4056	1	2
Kin	True	1	1	0	0	1	0	0	14.9416	185.2937	12.4012	1	6
Klf17	True	2	2	0	0	0	2	0	0.1921	0.4817	5.0142	0	2
Klf5	True	1	1	0	0	1	0	0	44.4537	10.4067	0.2341	1	6
Klk4	True	8	2	0	0	0	2	6	0.0123	0.1859	121.1641	0	1
Knop1	True	1	1	1	0	0	0	0	72.3249	15.6017	0.2157	0	6
Kpna2	True	7	7	2	0	5	0	0	30.0948	19.3050	4.4903	5	6
Krcc1	True	1	1	1	0	0	0	0	41.8066	25.0764	0.5998	0	6
Krr1	True	3	3	1	0	2	0	0	10.8422	41.9593	11.6100	2	6
Krt18	True	4	4	0	0	4	0	0	83.0331	132.6876	6.3920	4	6
Krt6a	True	1	1	0	0	0	1	0	146.4051	50.3912	0.3442	1	4
Krt8	True	2	1	0	0	1	0	1	35.3264	23.8564	1.3506	1	6
L3mbtl3	True	1	1	1	0	0	0	0	18.0979	60.9423	3.3674	0	6
Lage3	True	2	1	0	0	0	1	1	210.9892	0.2323	0.0022	0	6
Lair1	True	1	1	0	0	1	0	0	5.0292	1.9489	0.3875	1	6
Lamtor1	True	1	1	0	0	1	0	0	447.0708	143.7785	0.3216	1	6
Lamtor2	True	1	1	1	0	0	0	0	301.6537	723.9075	2.3998	0	6
Lamtor4	True	1	1	1	0	0	0	0	853.1769	79.8955	0.0936	0	6
Lamtor5	True	1	1	0	0	1	0	0	200.3268	752.4895	3.7563	1	6
Lap3	True	1	1	0	0	1	0	0	67.3258	1499.5128	22.2725	1	6
Larp1b	True	1	1	0	0	1	0	0	18.1343	6.1698	0.3402	1	6
Larp7	True	5	4	1	0	3	0	1	51.8050	60.7789	5.8661	3	6
Lbp	True	1	1	1	0	0	0	0	56.4111	1.2524	0.0222	0	6
Lcn2	True	13	8	0	0	0	8	5	111.4549	0.0603	0.0070	1	6
Ldha	True	1	1	0	0	1	0	0	55.4750	11.6557	0.2101	1	6
Lgals9	True	2	2	0	0	0	2	0	11.3063	2.4403	0.4317	1	6
Lgals9b	True	1	1	0	0	0	1	0	13.0996	0.2020	0.0154	0	6
Lilra5	True	2	2	1	0	0	1	0	1.1728	10.2174	17.4235	0	5
Lilra6	True	2	2	1	0	1	0	0	24.7813	7.6234	0.6153	1	6
Lin28a	True	2	2	0	0	0	2	0	0.2866	2.1705	15.1458	0	6
Llcfc1	True	1	1	0	0	0	1	0	0.9882	0.9522	0.9636	0	4
Loxhd1	True	1	1	1	0	0	0	0	0.1260	3.6985	29.3463	0	6
Lrpap1	True	1	1	0	0	1	0	0	293.0562	1543.3828	5.2665	1	6
Lsm3	True	4	3	3	0	0	0	1	36.4104	215.8705	23.7153	0	6
Lsm4	True	1	1	0	0	1	0	0	166.1198	88.0207	0.5299	1	6
Lsm5	True	1	1	1	0	0	0	0	59.2698	217.8121	3.6749	0	6
Lsm8	True	1	1	0	0	1	0	0	174.3407	294.3807	1.6885	1	6
Ly6e	True	1	1	1	0	0	0	0	0.0428	757.4405	17705.7869	0	1
Lyrm2	True	3	3	2	0	0	1	0	78.8819	24.5115	0.9322	0	6
Lyz	True	2	2	1	0	0	1	0	0.1125	93.8207	1668.4209	0	4
Mad2l2	True	1	1	1	0	0	0	0	21.0132	147.3835	7.0138	0	6
Magea10	True	11	3	0	0	0	3	8	0.1886	0.0292	1.7048	0	1
Magea11	True	5	1	0	0	0	1	4	0.0000	0.0125	inf	0	0
Magea4	True	4	0	0	0	0	0	4	0.0000	0.0000		0	0
Mageb16	True	1	0	0	0	0	0	1	0.1747	0.0000	0.0000	0	2
Mageb3	True	6	3	0	0	0	3	3	2.6126	0.0451	0.1035	0	6
Mageb4	True	5	1	0	0	0	1	4	0.5395	0.0029	0.0266	0	1
Mak16	True	1	1	0	0	1	0	0	91.8718	261.0787	2.8418	1	6
Maoa	True	2	2	0	0	2	0	0	17.5400	1176.3070	134.1283	2	6
Mat2a	True	1	1	0	0	1	0	0	1498.5289	488.0341	0.3257	1	6
Mboat7	True	1	1	0	0	1	0	0	169.1533	5.0066	0.0296	1	6
Mdp1	True	1	1	0	0	1	0	0	240.2847	49.9929	0.2081	1	6
Med29	True	1	1	0	0	1	0	0	234.5514	1846.5102	7.8725	1	6
Med4	True	2	2	0	0	2	0	0	57.4620	190.8212	6.6417	2	6
Melk	True	1	1	0	0	1	0	0	2.0472	13.4250	6.5576	1	6
Mfsd13a	True	1	1	0	0	0	1	0	299.6158	0.5793	0.0019	1	6
Mgat1	True	1	1	0	0	1	0	0	26.3981	134.7464	5.1044	1	6
Mgat4c	True	2	2	1	0	0	1	0	1.5805	7.2498	9.1738	0	6
Mia2	True	1	1	0	0	0	1	0	131.5228	0.5837	0.0044	0	6
Mif	True	1	1	0	0	1	0	0	1875.4393	456.5384	0.2434	1	6
Mmgt1	True	1	1	1	0	0	0	0	142.4089	318.7032	2.2379	0	6
Mphosph10	True	1	1	0	0	1	0	0	67.5056	244.2006	3.6175	1	6
Mreg	True	1	1	0	0	1	0	0	13.9644	39.0443	2.7960	1	6
Mrgprx1	True	2	1	0	0	0	1	1	0.1752	0.4530	5.1720	0	1
Mri1	True	1	1	1	0	0	0	0	71.4661	113.4896	1.5880	0	6
Mroh7	True	1	1	0	0	0	1	0	1.0229	0.2085	0.2038	0	6
Mrpl11	True	1	1	0	0	1	0	0	31.4089	448.5700	14.2816	1	6
Mrpl15	True	1	1	0	0	1	0	0	97.1183	325.8935	3.3556	1	6
Mrpl17	True	1	1	1	0	0	0	0	1091.9183	48.0198	0.0440	0	6
Mrpl3	True	1	1	1	0	0	0	0	50.2883	916.6487	18.2279	0	6
Mrpl30	True	1	1	1	0	0	0	0	30.1047	1439.1866	47.8060	0	6
Mrpl36	True	1	1	0	0	1	0	0	132.6764	81.0462	0.6109	1	6
Mrpl41	True	2	2	2	0	0	0	0	370.4627	303.7698	1.6399	0	6
Mrpl42	True	1	1	1	0	0	0	0	18.8679	952.1246	50.4626	0	6
Mrpl45	True	1	1	1	0	0	0	0	92.6374	330.7634	3.5705	0	6
Mrpl49	True	2	2	1	0	1	0	0	704.1700	158.6295	0.4505	1	6
Mrpl50	True	3	3	1	0	2	0	0	62.6312	83.7126	4.0098	2	6
Mrpl55	True	1	1	1	0	0	0	0	300.6576	379.7357	1.2630	0	6
Mrps15	True	1	1	0	0	1	0	0	372.0470	377.5719	1.0149	1	6
Mrps16	True	1	1	0	0	1	0	0	540.0287	283.6444	0.5252	1	6
Mrps18c	True	2	2	2	0	0	0	0	35.7705	237.4007	13.2736	0	6
Mrps21	True	1	1	1	0	0	0	0	144.3246	25.7359	0.1783	0	6
Mrps25	True	2	2	1	0	1	0	0	401.3174	762.6031	3.8005	1	6
Mrps6	True	2	2	2	0	0	0	0	82.0760	54.5068	1.3282	0	6
Mrto4	True	1	1	0	0	1	0	0	119.0325	9.6507	0.0811	1	6
Ms4a2	True	1	1	1	0	0	0	0	77.3606	9.0232	0.1166	0	6
Ms4a4a	True	1	1	0	0	0	1	0	15.8284	1.6507	0.1043	0	6
Ms4a4d	True	1	1	0	0	1	0	0	0.4934	3.0548	6.1909	1	6
Msmb	True	1	1	0	0	0	1	0	10.1183	2581.6483	255.1465	0	2
Msn	True	1	1	0	0	1	0	0	40.6586	850.4171	20.9161	1	6
Mtap	True	3	3	3	0	0	0	0	10.2400	39.3742	11.5354	0	6
Mtrex	True	1	1	1	0	0	0	0	54.3927	492.8617	9.0612	0	6
Mx2	True	1	1	1	0	0	0	0	69.3167	34.7949	0.5020	0	6
Mycbp	True	8	8	4	0	3	1	0	131.1745	174.2613	10.6278	3	6
Myh2	True	1	1	0	0	0	1	0	350.2868	229.3661	0.6548	1	6
Myl12b	True	1	1	0	0	1	0	0	562.8195	587.9810	1.0447	1	6
Myl6	True	2	2	0	0	2	0	0	1780.6691	1238.1313	1.3906	2	6
Myl9	True	1	1	0	0	1	0	0	1073.2836	859.8003	0.8011	1	6
Naa11	True	1	1	0	0	0	1	0	6.7601	0.1389	0.0205	0	6
Nampt	True	1	1	0	0	1	0	0	115.1057	521.4100	4.5298	1	6
Nanp	True	1	1	1	0	0	0	0	98.8044	24.1491	0.2444	0	6
Napsa	True	1	1	0	0	1	0	0	931.1268	120.6562	0.1296	1	6
Nasp	True	1	1	0	0	1	0	0	72.3605	5.8709	0.0811	1	6
Nat8b	True	1	1	1	0	0	0	0	14.2446	96.1046	6.7467	0	6
Ncbp2	True	1	1	1	0	0	0	0	92.6340	71.9244	0.7764	0	6
Ncr3lg1	True	2	2	2	0	0	0	0	27.6266	37.6079	2.7226	0	6
Ndufa10	True	1	1	0	0	1	0	0	137.0132	248.4537	1.8134	1	6
Ndufa11	True	1	1	0	0	1	0	0	159.5491	6122.8904	38.3762	1	6
Ndufa12	True	2	2	0	0	2	0	0	214.4594	1184.7739	11.0489	2	6
Ndufa2	True	3	3	0	0	3	0	0	88.6500	683.2925	23.1233	3	6
Ndufa3	True	3	3	3	0	0	0	0	191.5965	821.4415	12.8621	0	6
Ndufa4	True	3	3	0	0	3	0	0	661.4647	6634.3419	30.0893	3	6
Ndufa5	True	3	3	1	0	2	0	0	42.6970	480.5027	33.7613	2	6
Ndufa6	True	1	1	0	0	1	0	0	328.1718	2933.4643	8.9388	1	6
Ndufa8	True	1	1	0	1	0	0	0	0.0000	419.8592	inf	0	0
Ndufab1	True	1	1	1	0	0	0	0	77.2280	811.4306	10.5069	0	6
Ndufaf2	True	1	1	1	0	0	0	0	4.4932	286.7829	63.8255	0	6
Ndufaf4	True	2	2	0	0	2	0	0	26.9210	92.1738	6.8477	2	6
Ndufb10	True	1	1	0	0	1	0	0	981.6160	979.7064	0.9981	1	6
Ndufb4	True	1	1	0	0	1	0	0	995.9014	12.2961	0.0123	1	6
Ndufb7	True	2	2	1	0	0	1	0	1002.7090	8.6255	0.0172	0	6
Ndufs8	True	1	1	0	0	1	0	0	463.8782	4391.1592	9.4662	1	6
Nedd8	True	7	7	5	0	2	0	0	26.0432	124.6570	33.5058	2	6
Nifk	True	4	4	2	0	2	0	0	92.3847	107.6288	4.6600	2	6
Nipsnap2	True	1	1	0	0	1	0	0	102.1844	88.6695	0.8677	1	6
Nlrp1	True	2	2	1	0	1	0	0	1.5530	19.7713	25.4623	1	6
Nop10	True	2	2	1	0	1	0	0	1053.3417	225.4292	0.4280	1	6
Notch2	True	1	1	1	0	0	0	0	46.3173	7.7681	0.1677	0	6
Npm1	True	2	2	1	0	0	1	0	71.1172	3.3466	0.0941	0	6
Nr1h4	True	1	1	1	0	0	0	0	13.9873	1.0972	0.0784	0	6
Nr1i3	True	1	1	1	0	0	0	0	230.9453	473.6091	2.0507	0	6
Nsa2	True	2	2	2	0	0	0	0	14.5964	89.2401	12.2277	0	6
Nsfl1c	True	1	1	1	0	0	0	0	63.1088	190.4558	3.0179	0	6
Nthl1	True	1	1	1	0	0	0	0	65.8691	10.3924	0.1578	0	6
Nucks1	True	1	1	0	0	1	0	0	83.1448	139.0002	1.6718	1	6
Nudcd2	True	1	1	0	0	1	0	0	105.2109	72.0652	0.6850	1	6
Nudt11	True	1	1	0	0	0	1	0	42.8741	21.3651	0.4983	1	5
Nudt16	True	1	1	1	0	0	0	0	189.0635	2.8305	0.0150	0	6
Nup43	True	1	1	0	0	1	0	0	17.8413	85.4535	4.7897	1	6
Nupr1	True	1	1	1	0	0	0	0	0.3908	790.9725	2023.9895	0	6
Nus1	True	1	1	0	0	1	0	0	450.1829	299.9159	0.6662	1	6
Nusap1	True	2	2	0	0	1	1	0	6.1860	5.6404	1.8236	1	6
Nutf2	True	1	1	0	0	1	0	0	45.3215	52.0937	1.1494	1	6
Nxpe3	True	2	2	1	0	0	1	0	39.2484	13.4787	0.6868	0	6
Oat	True	1	1	1	0	0	0	0	61.9699	1241.3814	20.0320	0	6
Obp2b	True	2	2	1	0	0	1	0	9.4564	25.8846	5.4745	0	6
Olfm4	True	1	1	0	0	0	1	0	0.2493	0.3760	1.5083	0	5
Or10q1	True	1	1	0	0	0	1	0	0.5678	0.0723	0.1273	1	1
Or51a7	True	4	0	0	0	0	0	4	0.0000	0.0000		0	0
Or51c1	True	2	2	0	0	0	2	0	0.0770	1.1259	29.2265	1	1
Or51f1	True	1	0	0	0	0	0	1	32.9885	0.0000	0.0000	0	4
Or51g2	True	6	0	0	0	0	0	6	0.0000	0.0000		0	0
Or51i1	True	2	0	0	0	0	0	2	0.0000	0.0000		0	0
Or51i2	True	6	3	0	0	0	3	3	0.0000	0.0341	inf	0	0
Or51l1	True	1	0	0	0	0	0	1	0.3094	0.0000	0.0000	0	3
Or51v1	True	1	0	0	0	0	0	1	0.0000	0.0000		0	0
Or52a1	True	3	0	0	0	0	0	3	0.0000	0.0000		0	0
Or52b2	True	2	2	0	0	0	2	0	0.0000	0.4155	inf	0	0
Or52b4	True	2	2	1	0	0	1	0	1.4830	1.7801	2.4007	0	5
Or52h1	True	2	2	0	0	0	2	0	1.0690	0.7866	1.4716	1	1
Or52i1	True	1	1	1	0	0	0	0	2.5591	4.9437	1.9318	0	5
Or52j3	True	2	0	0	0	0	0	2	0.0000	0.0000		0	0
Or52m1	True	1	1	0	0	0	1	0	0.4557	0.8416	1.8470	0	1
Or52p1	True	3	1	0	0	0	1	2	0.1805	0.0288	0.4793	1	1
Or52r1	True	1	0	0	0	0	0	1	0.0000	0.0000		0	0
Or56a4	True	1	0	0	0	0	0	1	0.0470	0.0000	0.0000	0	1
Or56b1	True	1	0	0	0	0	0	1	0.0000	0.0000		0	0
Osbpl11	True	2	2	1	0	1	0	0	11.5103	23.9766	4.1661	1	6
Ostf1	True	1	1	0	0	1	0	0	41.5256	2172.2379	52.3108	1	6
Otub1	True	1	1	0	0	1	0	0	177.5834	758.9029	4.2735	1	6
Otud6b	True	1	1	0	0	1	0	0	119.8182	125.9524	1.0512	1	6
Ovca2	True	1	1	1	0	0	0	0	14.9700	154.3138	10.3082	0	6
P2ry10	True	1	1	1	0	0	0	0	10.8304	5.8007	0.5356	0	6
Pa2g4	True	4	4	0	0	4	0	0	89.8122	154.5727	6.8843	4	6
Pabpc1l2a	True	1	1	0	0	0	1	0	2.8039	2.9038	1.0356	1	2
Pabpn1	True	1	1	1	0	0	0	0	560.9019	27.2942	0.0487	0	6
Pbdc1	True	2	2	1	0	1	0	0	107.5738	110.4647	2.0537	1	6
Pcbp1	True	2	2	0	0	2	0	0	15.7347	449.1306	57.0880	2	6
Pcbp2	True	1	1	0	0	0	1	0	116.6193	0.0986	0.0008	0	6
Pcdhb4	True	1	1	0	0	1	0	0	18.5526	22.1195	1.1923	1	6
Pced1a	True	1	0	0	0	0	0	1	57.7181	0.0000	0.0000	0	6
Pclaf	True	1	1	0	0	1	0	0	27.2563	45.0124	1.6515	1	6
Pcmt1	True	1	1	0	0	1	0	0	28.6655	816.0893	28.4694	1	6
Pcna	True	1	1	1	0	0	0	0	471.0381	457.6780	0.9716	0	6
Pdap1	True	1	1	0	0	1	0	0	176.4197	82.7566	0.4691	1	6
Pdcl3	True	1	1	1	0	0	0	0	109.5044	181.6571	1.6589	0	6
Pdha1	True	1	1	0	0	1	0	0	825.4782	1638.5551	1.9850	1	6
Pdia6	True	1	1	0	0	1	0	0	539.4973	668.8545	1.2398	1	6
Pdk1	True	1	1	1	0	0	0	0	45.6202	263.4358	5.7745	0	6
Pdlim5	True	1	1	0	0	1	0	0	47.3202	510.5769	10.7898	1	6
Pebp1	True	2	2	0	0	2	0	0	3546.0432	1096.7113	0.6186	2	6
Pemt	True	1	0	0	0	0	0	1	13.7668	0.0000	0.0000	0	6
Pes1	True	1	1	0	0	1	0	0	55.7269	36.6799	0.6582	1	6
Pex13	True	1	1	1	0	0	0	0	8.8244	79.7478	9.0372	0	6
Pfdn1	True	2	2	1	0	1	0	0	28.9934	578.3372	39.8944	1	6
Pfdn2	True	1	1	1	0	0	0	0	111.7854	92.7133	0.8294	0	6
Pfdn5	True	4	4	2	0	2	0	0	95.1294	383.3983	16.1211	2	6
Pfn2	True	1	1	0	0	0	1	0	1217.9874	0.5311	0.0004	0	6
Pgam1	True	7	6	0	0	6	0	1	640.2531	387.5938	4.2376	6	6
Pgk1	True	4	4	2	0	2	0	0	43.7403	407.0316	37.2226	2	6
Phb2	True	1	1	1	0	0	0	0	1407.2529	711.5306	0.5056	0	6
Phgdh	True	1	1	0	0	1	0	0	27.3533	513.4083	18.7695	1	6
Picalm	True	1	1	1	0	0	0	0	263.4901	6.2077	0.0236	0	6
Pin4	True	2	2	2	0	0	0	0	27.4614	147.9244	10.7732	0	6
Pirb	True	5	5	4	0	1	0	0	8.0594	31.4357	19.5025	1	6
Pkm	True	2	2	0	0	2	0	0	49.7865	15.1346	0.6080	2	6
Plcg2	True	1	1	0	0	1	0	0	4.8468	1.5532	0.3205	1	6
Pld6	True	1	1	0	0	1	0	0	19.9882	6.1283	0.3066	1	6
Plekhf1	True	1	1	0	0	1	0	0	43.9569	42.5826	0.9687	1	6
Plekhf2	True	2	2	0	0	2	0	0	32.9076	77.6512	4.7194	2	6
Plk1	True	1	1	0	0	1	0	0	72.5429	59.5620	0.8211	1	6
Plrg1	True	1	1	0	0	1	0	0	91.5463	506.9045	5.5371	1	6
Plscr1	True	2	2	2	0	0	0	0	0.3207	39.1385	244.0462	0	5
Pnma5	True	1	1	0	0	0	1	0	0.4035	0.3275	0.8116	0	4
Poldip2	True	1	1	0	0	1	0	0	574.8341	38.6190	0.0672	1	6
Pole3	True	1	1	1	0	0	0	0	148.8485	108.9903	0.7322	0	6
Polr1c	True	1	1	0	0	1	0	0	94.0564	15.7470	0.1674	1	6
Polr1d	True	1	1	1	0	0	0	0	424.5854	182.9693	0.4309	0	6
Polr1has	True	1	1	1	0	0	0	0	20.1996	1.5612	0.0773	0	6
Polr2g	True	1	1	0	0	1	0	0	836.8258	1286.0559	1.5368	1	6
Polr2h	True	1	1	1	0	0	0	0	116.0549	284.9900	2.4556	0	6
Polr2j	True	1	1	0	0	1	0	0	98.7192	1030.2458	10.4361	1	6
Polr2k	True	1	1	1	0	0	0	0	208.2633	136.8685	0.6572	0	6
Polr2m	True	1	1	0	0	0	1	0	164.8220	1.1822	0.0072	0	6
Pomp	True	3	3	0	0	3	0	0	189.4538	617.4050	9.7766	3	6
Pou2f3	True	1	1	0	0	1	0	0	4.9349	14.1373	2.8648	1	6
Ppa1	True	1	1	0	0	1	0	0	46.7371	321.8793	6.8870	1	6
Pphln1	True	1	1	1	0	0	0	0	12.8956	127.3326	9.8741	0	6
Ppia	True	4	3	3	0	0	0	1	153.5799	137.8222	3.5896	0	6
Ppil1	True	1	1	0	0	1	0	0	36.8391	147.9564	4.0163	1	6
Ppp1r14b	True	1	1	0	0	1	0	0	189.3071	1054.1457	5.5684	1	6
Ppp1r2	True	1	1	1	0	0	0	0	161.3176	5.6254	0.0349	0	6
Ppp3cb	True	1	1	0	0	1	0	0	53.7891	373.5177	6.9441	1	6
Ppp3r1	True	1	1	0	0	1	0	0	33.5622	12.1033	0.3606	1	6
Ppp4r1	True	1	1	0	0	1	0	0	54.3908	21.3072	0.3917	1	6
Ppp4r3b	True	1	1	0	0	0	1	0	229.0834	0.2474	0.0011	0	6
Prdx1	True	6	6	0	0	4	2	0	592.5313	753.8988	7.6340	4	6
Prdx3	True	1	1	0	0	1	0	0	531.5487	42.1777	0.0793	1	6
Prdx5	True	1	1	0	0	1	0	0	1259.7961	499.5988	0.3966	1	6
Prelid1	True	3	3	0	0	3	0	0	722.0245	142.6259	0.5926	3	6
Prelid3b	True	1	1	0	0	1	0	0	126.4309	129.1809	1.0218	1	6
Prim1	True	1	1	1	0	0	0	0	5.7559	77.6442	13.4896	0	6
Prkci	True	1	1	0	0	0	1	0	38.6487	0.4273	0.0111	1	6
Prkrip1	True	2	2	2	0	0	0	0	13.1217	166.8764	25.4352	0	6
Prnp	True	1	1	0	0	1	0	0	544.3510	52.7451	0.0969	1	6
Prps1	True	4	4	4	0	0	0	0	1.3326	140.3537	421.2923	0	4
Prss40	True	1	1	0	0	0	1	0	2.2993	0.9988	0.4344	0	4
Prss44	True	2	2	0	0	0	2	0	0.0578	0.1839	6.3577	0	3
Prss58	True	1	1	0	0	0	1	0	0.6012	0.3518	0.5851	0	6
Psma2	True	4	3	3	0	0	0	1	86.2983	209.7515	9.7222	0	6
Psma3	True	1	1	1	0	0	0	0	65.8980	43.4751	0.6597	0	6
Psma5	True	1	1	1	0	0	0	0	67.4835	612.5328	9.0768	0	6
Psmb2	True	1	1	1	0	0	0	0	23.0084	1997.9323	86.8348	0	6
Psmb3	True	1	1	1	0	0	0	0	85.3752	1526.4162	17.8789	0	6
Psmc1	True	4	4	4	0	0	0	0	125.0343	120.7204	3.8620	0	6
Psmc3	True	1	1	0	0	1	0	0	834.2598	1745.5047	2.0923	1	6
Psmc5	True	1	0	0	0	0	0	1	838.9032	0.0000	0.0000	0	6
Psmd1	True	4	3	2	0	0	1	1	47.0119	18.5647	1.5796	0	6
Psmd12	True	2	2	0	0	2	0	0	83.9245	114.9747	2.7400	2	6
Psmd14	True	1	1	1	0	0	0	0	24.5525	1200.7530	48.9055	0	6
Psmd3	True	1	1	1	0	0	0	0	186.5603	571.8713	3.0653	0	6
Pspc1	True	1	1	0	0	1	0	0	68.4838	40.1756	0.5866	1	6
Pten	True	1	1	1	0	0	0	0	83.7217	1909.4345	22.8069	0	6
Ptgr2	True	1	1	1	0	0	0	0	59.4983	960.0123	16.1351	0	6
Ptms	True	1	1	0	0	1	0	0	2955.7844	2060.9734	0.6973	1	6
Ptp4a2	True	1	1	1	0	0	0	0	46.0780	88.3842	1.9181	0	6
Pudp	True	2	2	0	2	0	0	0	0.0000	16.0758	inf	0	0
Pum3	True	1	1	0	0	1	0	0	39.9177	84.8643	2.1260	1	6
Pwwp3b	True	1	1	0	0	1	0	0	19.8180	3.0560	0.1542	1	5
Pycr1	True	1	1	0	0	1	0	0	81.1739	11.0014	0.1355	1	6
Pygo1	True	6	6	2	0	2	2	0	173.9176	3.6436	0.1257	2	6
Pyurf	True	3	3	1	0	1	1	0	159.9718	56.6177	1.0618	1	6
Rab13	True	2	2	2	0	0	0	0	11.2870	340.1531	60.2736	0	6
Rab14	True	1	1	1	0	0	0	0	245.1088	411.5017	1.6789	0	6
Rab18	True	1	1	1	0	0	0	0	82.9273	926.8232	11.1763	0	6
Rab1a	True	1	1	1	0	0	0	0	119.6198	1949.2273	16.2952	0	6
Rab2a	True	2	2	1	0	1	0	0	21.9180	15.3008	1.3962	1	6
Rab5a	True	1	1	1	0	0	0	0	47.8876	138.3988	2.8901	0	6
Rab5if	True	1	1	1	0	0	0	0	15.2851	82.6871	5.4096	0	6
Rad23b	True	1	1	0	0	1	0	0	142.3684	231.3221	1.6248	1	6
Rad51	True	2	1	1	0	0	0	1	5.9010	1.9207	0.6510	0	6
Ralgds	True	5	5	1	0	0	4	0	52.1399	0.6886	0.0660	0	6
Ran	True	1	1	0	0	1	0	0	591.3164	274.9485	0.4650	1	6
Ranbp1	True	2	2	0	0	1	1	0	184.8464	238.0679	2.5758	1	6
Ranbp10	True	1	1	0	0	1	0	0	14.0091	99.8218	7.1255	1	6
Rap1b	True	3	3	0	0	3	0	0	55.4626	190.0792	10.2815	3	6
Rbm22	True	1	1	0	0	1	0	0	33.8752	106.4983	3.1438	1	6
Rbm3	True	1	1	0	0	1	0	0	304.3159	233.2308	0.7664	1	6
Rbm39	True	1	1	0	0	1	0	0	234.6045	1892.5779	8.0671	1	6
Rbm4	True	1	1	1	0	0	0	0	3.4492	193.4534	56.0864	0	3
Rbm5	True	1	1	0	0	1	0	0	33.6812	843.7343	25.0506	1	6
Rbmx	True	1	1	1	0	0	0	0	179.0739	388.6669	2.1704	0	6
Rdh16	True	1	1	0	0	1	0	0	9.8915	1808.6132	182.8455	1	6
Rflnb	True	2	2	0	0	1	1	0	149.1419	32.2780	0.4328	1	6
Rgs9bp	True	1	1	0	0	0	1	0	14.1244	34.1126	2.4152	0	6
Rhoa	True	2	2	1	0	1	0	0	128.4437	57.5318	0.8958	1	6
Rhox13	True	1	0	0	0	0	0	1	0.0576	0.0000	0.0000	0	2
Rida	True	2	2	0	0	2	0	0	1052.7593	349.1693	0.6633	2	6
Ripply3	True	1	1	0	0	0	1	0	6.8900	2.1533	0.3125	0	6
Rnase1	True	2	2	1	0	0	1	0	159.4521	12.5937	0.1580	0	5
Rnase6	True	5	5	2	0	0	3	0	0.0792	15.6878	990.3331	0	1
Rnf138	True	1	1	0	0	0	1	0	41.2814	1.5634	0.0379	0	6
Rnf185	True	1	1	1	0	0	0	0	23.4490	58.1845	2.4813	0	6
Rnf5	True	1	1	0	0	1	0	0	194.9600	636.7405	3.2660	1	6
Rnf7	True	1	1	0	0	1	0	0	197.9668	141.3316	0.7139	1	6
Rnft1	True	1	1	1	0	0	0	0	138.3287	247.0647	1.7861	0	6
Rp9	True	1	1	1	0	0	0	0	72.3436	26.9808	0.3730	0	6
Rpa2	True	1	1	0	0	1	0	0	23.1500	228.2638	9.8602	1	6
Rpa3	True	1	1	1	0	0	0	0	197.2414	24.1621	0.1225	0	6
Rpf2	True	1	0	0	0	0	0	1	13.6950	0.0000	0.0000	0	6
Rpl10	True	6	6	2	0	1	3	0	3673.5504	950.9573	1.5532	1	6
Rpl10a	True	14	11	2	0	6	3	3	2822.6229	59.6863	0.2960	6	6
Rpl11	True	1	1	1	0	0	0	0	306.3061	2.2597	0.0074	0	6
Rpl13	True	16	16	3	0	9	4	0	546.3828	25.3932	0.7436	9	6
Rpl13a	True	6	6	0	0	5	1	0	1825.5504	2056.1976	6.7581	5	6
Rpl18a	True	7	6	1	0	3	2	1	1203.1450	583.1861	3.3930	4	6
Rpl19	True	1	1	0	0	1	0	0	433.0881	3144.4266	7.2605	1	6
Rpl22	True	1	1	1	0	0	0	0	63.7055	130.6842	2.0514	0	6
Rpl22l1	True	1	1	1	0	0	0	0	151.4025	8.8864	0.0587	0	6
Rpl23a	True	9	8	6	0	0	2	1	7.3403	32.7051	40.0998	1	6
Rpl24	True	8	8	6	0	1	1	0	86.1984	192.1898	17.8370	1	6
Rpl26	True	3	3	2	0	1	0	0	145.6282	226.6306	4.6687	1	6
Rpl27	True	7	5	1	0	3	1	2	500.8662	1229.3022	17.1805	3	6
Rpl27a	True	27	27	17	0	4	6	0	476.5487	121.4298	6.8799	4	6
Rpl28	True	5	5	1	0	2	2	0	651.0551	671.7485	5.1589	2	6
Rpl3	True	2	2	0	0	2	0	0	1883.3272	2354.7523	2.5006	2	6
