family	paralog_name	paralog_type	classification	mean_TPM	median_TPM	max_TPM	tissues_detected	samples_detected	pct_samples	pearson_r_vs_parent	pearson_pvalue	tissue_specificity
Sf3a2	Sf3a2-dl1	dl	supported	4.0082	2.8653	20.1939	6	26	89.6552	0.7069	0.1163	0.0548
Sf3b4	Sf3b4-dl1	dl	parent correlated	23.4778	22.6682	46.6708	6	28	96.5517	0.9408	0.0052	0.0151
Sf3b4	Sf3b4-dl2	dl	parent correlated	10.1714	7.6970	26.9385	6	26	89.6552	0.8387	0.0369	0.0369
Sf3b4	Sf3b4-dl3	dl	parent correlated	22.5326	20.5124	52.3828	6	29	100.0000	0.8514	0.0315	0.0340
Sf3b4	Sf3b4-l1	l	supported	4.4698	4.0031	16.4602	6	26	89.6552	0.6440	0.1675	0.1109
Sfn	Sfn-dl1	dl	parent correlated	27.1639	1.8239	358.6471	5	16	55.1724	0.9478	0.0040	0.7456
Sftpd	Sftpd-l1	l	low expression	81.0433	0.1789	571.0571	6	18	62.0690	0.9741	0.0010	0.9915
Sh3bgrl	Sh3bgrl-dl1	dl	parent correlated	20.2867	14.5004	69.2615	6	29	100.0000	0.9228	0.0087	0.1024
Sh3bgrl	Sh3bgrl-dl2	dl	supported	39.2639	30.0894	123.2447	6	29	100.0000	0.5499	0.2583	0.0908
Sh3bgrl	Sh3bgrl-dl3	dl	supported	32.9834	21.4325	158.0390	6	25	86.2069	0.7229	0.1046	0.1350
Sh3bgrl	Sh3bgrl-dl4	dl	supported	20.7491	14.2491	57.8463	6	29	100.0000	0.3923	0.4417	0.0763
Shcbp1	Shcbp1-dl1	dl	parent correlated	10.7792	2.5916	92.0316	6	26	89.6552	0.9556	0.0029	0.4431
Shmt2	Shmt2-l1	l	parent correlated	893.7702	256.7513	2381.0356	6	29	100.0000	0.9980	0.0000	0.2924
Siglec10	Siglec10-l1	l	supported	4.5593	1.9116	19.9507	6	29	100.0000	0.1575	0.7657	0.2371
Siglec5	Siglec5-l1	l	supported	46.5327	5.6487	272.0008	6	28	96.5517	0.4860	0.3284	0.6889
Sirpa	Sirpa-l1	l	low expression	1.8813	0.4152	7.8094	6	29	100.0000	0.3640	0.4781	0.3789
Siva1	Siva1-dl1	dl	supported	76.8121	77.4481	151.3041	6	29	100.0000	0.3883	0.4469	0.0059
Siva1	Siva1-dl2	dl	supported	89.7643	86.3936	153.0443	6	28	96.5517	0.3055	0.5560	0.0036
Ska2	Ska2-dl1	dl	supported	69.0310	62.9565	168.2626	6	29	100.0000	-0.2016	0.7016	0.0451
Ska2	Ska2-dl10	dl	low expression	1.0268	0.0000	12.8397	4	4	13.7931	-0.5715	0.2361	0.3083
Ska2	Ska2-dl11	dl	supported	3.9218	3.6322	12.8303	5	15	51.7241	0.4647	0.3532	0.1785
Ska2	Ska2-dl12	dl	low expression	0.9039	0.0000	4.9150	4	9	31.0345	0.1972	0.7080	0.2556
Ska2	Ska2-dl13	dl	low expression	0.1103	0.0000	3.1983	1	1	3.4483	-0.0333	0.9501	1.0000
Ska2	Ska2-dl2	dl	supported	82.5345	65.0898	184.6382	6	29	100.0000	0.5922	0.2156	0.0609
Ska2	Ska2-dl3	dl	low expression	1.1896	0.0000	10.8966	2	6	20.6897	-0.2221	0.6724	0.7465
Ska2	Ska2-dl4	dl	low expression	15.1252	0.0000	189.6887	6	14	48.2759	0.9327	0.0066	0.3756
Ska2	Ska2-dl5	dl	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
Ska2	Ska2-dl6	dl	low expression	4.6621	0.0000	30.6486	5	11	37.9310	0.6191	0.1900	0.2246
Ska2	Ska2-dl7	dl	low expression	3.8705	0.0000	25.6794	6	14	48.2759	0.2915	0.5752	0.1156
Ska2	Ska2-dl8	dl	low expression	0.8145	0.0000	8.3945	4	4	13.7931	-0.1123	0.8323	0.2472
Ska2	Ska2-dl9	dl	low expression	0.8064	0.0000	11.0313	3	4	13.7931	-0.4685	0.3486	0.4684
Skp1	Skp1-l1	l	supported	76.1322	74.0808	162.4847	6	29	100.0000	0.1637	0.7566	0.0558
Skp1	Skp1-l2	l	supported	23.6718	16.8486	80.1370	6	29	100.0000	0.7148	0.1104	0.1245
Skp1	Skp1-l3	l	low expression	0.4784	0.0000	5.0863	2	4	13.7931	-0.3920	0.4421	0.7138
Skp1	Skp1-l4	l	supported	97.7802	71.8817	236.2529	6	29	100.0000	0.6870	0.1316	0.0882
Slamf8	Slamf8-dl1	dl	supported	16.4124	6.7923	64.1536	6	28	96.5517	0.7181	0.1080	0.3282
Slamf8	Slamf8-l1	l	supported	1094.5682	454.4919	3546.8498	6	29	100.0000	0.7887	0.0622	0.2489
Slc22a13	Slc22a13-l1	l	low expression	156.4649	0.4709	1092.9751	5	16	55.1724	0.3363	0.5146	0.8133
Slc22a13	Slc22a13-l2	l	low expression	16.8395	0.1418	280.0321	5	15	51.7241	-0.0704	0.8946	0.7462
Slc22a13	Slc22a13-l3	l	supported	2.4936	1.3488	10.9317	6	21	72.4138	-0.5279	0.2817	0.1612
Slc23a2	Slc23a2-l1	l	supported	34.6605	24.1151	116.9427	6	29	100.0000	-0.3482	0.4988	0.1691
Slc25a24	Slc25a24-dl1	dl	supported	100.7712	83.1972	254.0473	6	29	100.0000	0.7531	0.0839	0.1026
Slc25a24	Slc25a24-l1	l	supported	40.5090	30.3612	103.4617	6	29	100.0000	0.6551	0.1579	0.1490
Slc25a44	Slc25a44-l1	l	parent correlated	45.5521	33.4400	148.6522	6	29	100.0000	0.9691	0.0014	0.1225
Slc25a5	Slc25a5-dl1	dl	parent correlated	63.4346	57.0026	171.6287	6	29	100.0000	0.9873	0.0002	0.0708
Slc25a5	Slc25a5-dl2	dl	parent correlated	163.1500	122.6757	468.2595	6	29	100.0000	0.9803	0.0006	0.1127
Slc25a5	Slc25a5-dl3	dl	parent correlated	79.9633	65.7250	197.1220	6	28	96.5517	0.8865	0.0186	0.0936
Slc25a5	Slc25a5-dl4	dl	parent correlated	91.4925	76.1037	251.3521	6	29	100.0000	0.9939	0.0001	0.1094
Slc25a5	Slc25a5-dl5	dl	parent correlated	167.8057	146.0450	431.3277	6	29	100.0000	0.9823	0.0005	0.0857
Slc25a51	Slc25a51-l1	l	parent correlated	109.2997	94.1831	237.3208	6	29	100.0000	0.9365	0.0059	0.0492
Slc25a51	Slc25a51-l2	l	parent correlated	168.0794	119.0713	392.4010	6	29	100.0000	0.9181	0.0098	0.0997
Slc35a4	Slc35a4-l1	l	parent correlated	105.5967	99.2529	165.5033	6	29	100.0000	0.8125	0.0494	0.0097
Slc35a4	Slc35a4-l2	l	parent correlated	48.3101	46.6470	89.6587	6	29	100.0000	0.9715	0.0012	0.0298
Slc39a2	Slc39a2-l1	l	low expression	5.0803	0.0000	37.3148	3	7	24.1379	-0.4128	0.4160	0.9527
Slc5a1	Slc5a1-l1	l	low expression	0.2913	0.2497	0.8678	6	25	86.2069	-0.0202	0.9697	0.1571
Slc5a4	Slc5a4-l1	l	low expression	0.0776	0.0573	0.2103	6	24	82.7586	0.5970	0.2108	0.0602
Slc6a16	Slc6a16-l1	l	supported	1.6169	0.7827	12.3764	5	20	68.9655	0.6826	0.1351	0.4979
Slc7a12	Slc7a12-l1	l	supported	35.0303	1.2515	234.0460	6	29	100.0000	0.7878	0.0627	0.8875
Slc7a9	Slc7a9-l1	l	supported	52.2122	0.5115	329.3234	6	24	82.7586	0.7298	0.0996	0.9535
Slfn13	Slfn13-l1	l	supported	3.9334	0.7428	34.6882	6	21	72.4138	0.3889	0.4461	0.6054
Slfn13	Slfn13-l2	l	supported	7.4166	1.5880	62.7874	6	24	82.7586	0.2215	0.6732	0.6653
Slirp	Slirp-dl1	dl	parent correlated	198.5648	195.4965	342.8990	6	29	100.0000	0.9854	0.0003	0.0183
Smim10l1	Smim10l1-l1	l	parent correlated	52.5895	51.2606	92.2971	6	28	96.5517	0.9791	0.0006	0.0327
Smim15	Smim15-dl1	dl	parent correlated	27.9604	24.0806	77.8081	6	28	96.5517	0.9418	0.0050	0.0528
Smim15	Smim15-dl2	dl	supported	13.5706	7.4184	112.2952	6	17	58.6207	0.7509	0.0854	0.1826
Smim15	Smim15-l1	l	supported	10.7736	7.3528	32.9765	6	27	93.1034	0.5486	0.2597	0.1598
Smim15	Smim15-l2	l	low expression	14.1373	0.0000	304.3592	5	10	34.4828	-0.3856	0.4502	0.5692
Sms	Sms-dl1	dl	supported	290.9211	239.4899	617.8720	6	29	100.0000	0.4651	0.3527	0.0593
Smu1	Smu1-dl1	dl	supported	362.6529	325.2739	602.9618	6	29	100.0000	0.7656	0.0760	0.0174
Snap23	Snap23-l1	l	supported	5.9530	6.0974	16.6501	6	28	96.5517	0.1891	0.7197	0.0488
Snap23	Snap23-l2	l	parent correlated	677.1093	577.1902	1405.7244	6	29	100.0000	0.9189	0.0096	0.0841
Snrnp27	Snrnp27-dl1	dl	supported	121.6924	122.4387	205.7132	6	29	100.0000	0.7587	0.0803	0.0159
Snrnp27	Snrnp27-dl2	dl	supported	261.4647	272.2637	425.2292	6	29	100.0000	0.6838	0.1342	0.0247
Snrpa	Snrpa-l1	l	supported	4.1493	2.0957	29.3738	6	18	62.0690	0.5682	0.2394	0.1950
Snrpb2	Snrpb2-l1	l	low expression	0.4265	0.0000	6.9094	3	3	10.3448	0.7700	0.0732	0.4807
Snrpc	Snrpc-l1	l	parent correlated	7.7452	5.4630	18.5896	6	29	100.0000	0.8706	0.0240	0.0603
Snrpc	Snrpc-l2	l	supported	36.1573	36.8364	70.4874	6	28	96.5517	0.3700	0.4704	0.0291
Snrpd1	Snrpd1-dl1	dl	supported	10.5423	7.5462	76.4497	6	26	89.6552	0.7087	0.1149	0.1450
Snrpd1	Snrpd1-dl2	dl	parent correlated	51.9761	41.6314	116.7361	6	28	96.5517	0.9290	0.0074	0.0298
Snrpd1	Snrpd1-dl3	dl	parent correlated	5.8219	4.4298	24.0404	6	22	75.8621	0.8205	0.0455	0.1122
Snrpd1	Snrpd1-dl4	dl	parent correlated	42.6427	38.0271	90.6828	6	29	100.0000	0.9598	0.0024	0.0287
Snrpd1	Snrpd1-l1	l	parent correlated	93.2410	82.2094	198.4391	6	29	100.0000	0.9701	0.0013	0.0309
Snrpd1	Snrpd1-l2	l	parent correlated	21.3310	18.1304	56.4403	6	29	100.0000	0.9285	0.0075	0.0560
Snrpd1	Snrpd1-l3	l	supported	7.4513	4.2672	92.4414	6	15	51.7241	0.7799	0.0673	0.2181
Snrpd2	Snrpd2-dl1	dl	supported	16.3877	4.1366	94.9622	6	27	93.1034	-0.6851	0.1332	0.5191
Snrpd2	Snrpd2-l1	l	parent correlated	434.0670	437.6548	667.6087	6	29	100.0000	0.8317	0.0401	0.0092
Snrpd2	Snrpd2-l2	l	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
