chrX	AUGUSTUS	gene	572360	572950	.	-	.	ID=gene-H2ab2;Name=H2ab2;origin=de_novo
chrX	AUGUSTUS	gene	8050412	8052067	.	+	.	ID=gene-Magea10-dl1;Name=Magea10-dl1;origin=de_novo
chrX	AUGUSTUS	gene	12758046	12760517	.	+	.	ID=gene-Eef2-dl5;Name=Eef2-dl5;origin=de_novo
chrX	AUGUSTUS	gene	19323546	19325362	.	-	.	ID=gene-Plrg1-dl1;Name=Plrg1-dl1;origin=de_novo
chrX	AUGUSTUS	gene	20698731	20699060	.	-	.	ID=gene-Trappc1-dl1;Name=Trappc1-dl1;origin=de_novo
chrX	AUGUSTUS	gene	23387183	23387731	.	-	.	ID=gene-Fth1-dl6;Name=Fth1-dl6;origin=de_novo
chrX	AUGUSTUS	gene	25813338	25818126	.	-	.	ID=gene-Fkbp3-dl6;Name=Fkbp3-dl6;origin=de_novo
chrX	AUGUSTUS	gene	25955514	25958822	.	+	.	ID=gene-Rps23-dl7;Name=Rps23-dl7;origin=de_novo
chrX	AUGUSTUS	gene	27624272	27625881	.	-	.	ID=gene-Rtl8c-dl1;Name=Rtl8c-dl1;origin=de_novo
chrX	AUGUSTUS	gene	30072099	30073232	.	-	.	ID=gene-Lage3-dl1;Name=Lage3-dl1;origin=de_novo
chrX	AUGUSTUS	gene	31022115	31022579	.	-	.	ID=gene-Pfdn5-dl4;Name=Pfdn5-dl4;origin=de_novo
chrX	AUGUSTUS	gene	35167342	35168563	.	+	.	ID=gene-Eef1g-dl1;Name=Eef1g-dl1;origin=de_novo
chrX	AUGUSTUS	gene	42303831	42306812	.	-	.	ID=gene-Cpt2-dl1;Name=Cpt2-dl1;origin=de_novo
chrX	AUGUSTUS	gene	45079978	45080334	.	+	.	ID=gene-Elob-dl4;Name=Elob-dl4;origin=de_novo
chrX	AUGUSTUS	gene	50827500	50832056	.	+	.	ID=gene-Rhox13-dl1;Name=Rhox13-dl1;origin=de_novo
chrX	AUGUSTUS	gene	51504001	51505395	.	+	.	ID=gene-Larp7-dl5;Name=Larp7-dl5;origin=de_novo
chrX	AUGUSTUS	gene	52093007	52093384	.	-	.	ID=gene-Rps25-dl14;Name=Rps25-dl14;origin=de_novo
chrX	AUGUSTUS	gene	56810320	56811535	.	+	.	ID=gene-Ssu72-dl1;Name=Ssu72-dl1;origin=de_novo
